,nr,nc,factor,acc_mean,acc_std,time_mean,time_std
42,4,128,0.001,1.0,0.0,6.53982162475586e-05,9.59912402114744e-07
43,4,128,0.0001,1.0,0.0,6.632804870605468e-05,2.802407313330672e-06
44,4,128,1e-05,1.0,0.0,6.568431854248047e-05,1.164351982791403e-06
45,4,128,1e-06,1.0,0.0,6.618499755859376e-05,2.894994590122326e-06
46,4,128,1e-07,1.0,0.0,6.597042083740234e-05,9.948084852707415e-07
47,4,128,1e-08,1.0,0.0,6.568431854248047e-05,1.040609018459091e-06
48,4,128,1e-09,1.0,0.0,6.639957427978516e-05,2.893128657224559e-06
49,4,128,1e-10,1.0,0.0,6.573200225830078e-05,7.076655425861277e-07
50,4,128,10000.0,1.0,0.0,6.568431854248047e-05,9.187626298903319e-07
51,4,128,100000000.0,1.0,0.0,6.687641143798828e-05,3.4223656228213683e-06
52,16,4,1.0,1.0,0.0,9.038448333740235e-05,1.24025564842513e-05
53,16,4,0.1,1.0,0.0,7.848739624023437e-05,1.3180041276059394e-06
54,16,4,0.01,1.0,0.0,7.929801940917969e-05,1.0126476565168048e-06
55,16,4,0.001,1.0,0.0,7.786750793457032e-05,1.0779051356751742e-06
56,16,4,0.0001,1.0,0.0,7.82012939453125e-05,1.3058723390225556e-06
57,16,4,1e-05,1.0,0.0,7.836818695068359e-05,1.011805304237506e-06
58,16,4,1e-06,1.0,0.0,7.95125961303711e-05,4.89803684451271e-06
59,16,4,1e-07,1.0,0.0,7.839202880859375e-05,1.1018962868014662e-06
60,16,4,1e-08,1.0,0.0,7.894039154052735e-05,2.997728487989721e-06
61,16,4,1e-09,1.0,0.0,7.975101470947266e-05,3.390660918552373e-06
62,16,4,1e-10,1.0,0.0,7.832050323486328e-05,1.1093511699802248e-06
63,16,4,10000.0,1.0,0.0,7.805824279785156e-05,6.050385256027947e-07
64,16,4,100000000.0,1.0,0.0,7.793903350830078e-05,9.62278178720978e-07
65,16,16,1.0,1.0,0.0,7.250308990478516e-05,1.3920460297579765e-06
66,16,16,0.1,1.0,0.0,6.856918334960938e-05,5.6391916306763715e-06
67,16,16,0.01,1.0,0.0,6.647109985351563e-05,7.820710881641733e-07
68,16,16,0.001,0.9875,0.0375,6.747245788574219e-05,2.9606173660803578e-06
69,16,16,0.0001,1.0,0.0,6.611347198486328e-05,9.65815978075461e-07
70,16,16,1e-05,1.0,0.0,6.62088394165039e-05,9.716836868436256e-07
71,16,16,1e-06,1.0,0.0,6.628036499023438e-05,7.539457464619588e-07
72,16,16,1e-07,0.9875,0.0375,6.625652313232421e-05,7.647998300717087e-07
73,16,16,1e-08,1.0,0.0,6.644725799560547e-05,1.1923312902498233e-06
74,16,16,1e-09,1.0,0.0,6.635189056396485e-05,1.0229796387159792e-06
75,16,16,1e-10,1.0,0.0,6.709098815917968e-05,2.329192112316096e-06
76,16,16,10000.0,1.0,0.0,6.661415100097656e-05,1.1882720751168356e-06
77,16,16,100000000.0,1.0,0.0,6.711483001708984e-05,3.1127095503475304e-06
78,16,64,1.0,1.0,0.0,7.297992706298829e-05,3.3926720862949626e-06
79,16,64,0.1,1.0,0.0,6.663799285888672e-05,9.902267292640298e-07
80,16,64,0.01,1.0,0.0,6.639957427978516e-05,4.428428559543302e-07
